activity_uuid_product_uuid,activity_uuid,lca_act_name,lca_geo,lca_act_type,product_uuid,ecoinvent_prod
e0a09da8-6d8b-5ea7-8aa3-5449ef155763_6dbeade5-eb8e-5666-b681-f479757cfd86,e0a09da8-6d8b-5ea7-8aa3-5449ef155763,"treatment of sewage sludge, 97% water, WWT, WW from hard fibreboard production, landfarming",row,ordinary transforming activity,6dbeade5-eb8e-5666-b681-f479757cfd86,"organic phosphorus fertiliser, as P2O5"
a6447eb7-3ab1-53c0-b8d2-710a4a8d8713_eee95138-58c8-4172-9b1f-754ba074325d,a6447eb7-3ab1-53c0-b8d2-710a4a8d8713,"concrete, all types to generic market for concrete, normal strength",row,ordinary transforming activity,eee95138-58c8-4172-9b1f-754ba074325d,"concrete, normal strength"
452b650e-0d1d-52d2-9001-1c596e52feb4_3b1d249a-c924-4d6c-8e1f-647f562daa54,452b650e-0d1d-52d2-9001-1c596e52feb4,"treatment of electric arc furnace dust, residual material landfill",ch,ordinary transforming activity,3b1d249a-c924-4d6c-8e1f-647f562daa54,electric arc furnace dust
e05a6ab0-e4fb-5836-8e7b-ad7885b385c8_cd9df1f3-c61b-45b8-b71f-b0cfeeb31176,e05a6ab0-e4fb-5836-8e7b-ad7885b385c8,"market for sewage sludge, 97% water, WWT, WW from LCD backlight production",ch,market activity,cd9df1f3-c61b-45b8-b71f-b0cfeeb31176,"sewage sludge, 97% water, WWT, WW from LCD backlight production"
e0726d9c-4b81-5673-986f-09f7f4ee3098_cbb2faab-d09a-4de1-8f37-c4fdd5b27198,e0726d9c-4b81-5673-986f-09f7f4ee3098,"market for mine infrastructure, underground, hard coal",glo,market activity,cbb2faab-d09a-4de1-8f37-c4fdd5b27198,"mine infrastructure, underground, hard coal"
7312975e-96f7-5733-9c60-2ecdd43e079c_090bf091-edba-4f7e-93dd-19eb43cb2123,7312975e-96f7-5733-9c60-2ecdd43e079c,Sohio process,rer,ordinary transforming activity,090bf091-edba-4f7e-93dd-19eb43cb2123,hydrogen cyanide
0d4e036d-c10a-59fe-a944-716ac82f6216_5a0f1c80-32cf-4b93-804c-d36df2cbd10d,0d4e036d-c10a-59fe-a944-716ac82f6216,market for marine electric motor,glo,market activity,5a0f1c80-32cf-4b93-804c-d36df2cbd10d,marine electric motor
f38792a5-4789-509a-8d5d-494378a4dbfd_fb423247-ca26-4a05-a380-d2bb2b5a77d4,f38792a5-4789-509a-8d5d-494378a4dbfd,"lithium iron phosphate production, solid state process",row,ordinary transforming activity,fb423247-ca26-4a05-a380-d2bb2b5a77d4,lithium iron phosphate
a4a615ac-fd75-59d9-b986-f75e4d4d798b_699f15e5-d6b7-4bf2-aca6-364178e11377,a4a615ac-fd75-59d9-b986-f75e4d4d798b,"market for foam glass, electricity from renewable energy products",glo,market activity,699f15e5-d6b7-4bf2-aca6-364178e11377,"foam glass, electricity from renewable energy products"
141e871c-60db-5929-9f54-ea1d4f44018c_d3d23054-a030-4284-9cfb-c464e70ec865,141e871c-60db-5929-9f54-ea1d4f44018c,coking,row,ordinary transforming activity,d3d23054-a030-4284-9cfb-c464e70ec865,coal gas
174fac4a-e554-5807-b2fb-1705462a9fc5_1c5d51e7-9762-5fbb-b707-03198c65b424,174fac4a-e554-5807-b2fb-1705462a9fc5,"natural gas, burned in gas turbine",fr,ordinary transforming activity,1c5d51e7-9762-5fbb-b707-03198c65b424,"natural gas, burned in gas turbine"
22147d8b-61ae-51be-98d1-b91a469036b0_09d47825-c403-465a-9ef0-1925e3599298,22147d8b-61ae-51be-98d1-b91a469036b0,"market for harvesting, sugarcane",glo,market activity,09d47825-c403-465a-9ef0-1925e3599298,"harvesting, sugarcane"
cc47e0f9-99cf-5587-bdea-f2efde95c48e_9c82f193-c34c-4765-abc3-996c68d1df8c,cc47e0f9-99cf-5587-bdea-f2efde95c48e,"lath, hardwood, raw, kiln drying to u=10%",ch,ordinary transforming activity,9c82f193-c34c-4765-abc3-996c68d1df8c,"sawnwood, lath, hardwood, raw, dried (u=10%)"
ffc75fed-d0c9-590f-bdb3-5bcb9caefa1a_8d53f85d-4fd8-4861-9f64-5799ac3906a6,ffc75fed-d0c9-590f-bdb3-5bcb9caefa1a,"market for green manure, Swiss integrated production, until February",ch,market activity,8d53f85d-4fd8-4861-9f64-5799ac3906a6,"green manure, Swiss integrated production, until February"
06250068-455c-5a97-ad49-5e2004254b8a_d7f544d6-c372-4fc3-81ae-44aa3614c9fc,06250068-455c-5a97-ad49-5e2004254b8a,market for straw,row,market activity,d7f544d6-c372-4fc3-81ae-44aa3614c9fc,straw
a773e194-44e2-5c6d-a063-425342549d1f_0988a106-557d-4dd3-a721-59c519857792,a773e194-44e2-5c6d-a063-425342549d1f,"treatment of used blower and heat exchange unit, KWL 250",row,ordinary transforming activity,0988a106-557d-4dd3-a721-59c519857792,used blower and heat exchange unit KWL 250
b150b55e-9276-5e36-bbbe-a0d3265ec856_d0ecfe06-9a51-4bf0-95c5-7e91e84539bb,b150b55e-9276-5e36-bbbe-a0d3265ec856,"treatment of lignite ash, opencast refill",at,ordinary transforming activity,d0ecfe06-9a51-4bf0-95c5-7e91e84539bb,lignite ash
d94d55b8-e5fe-5f06-8a3c-d66a860a5569_ee02b2e7-9c42-4fe3-904b-2a4a6f221656,d94d55b8-e5fe-5f06-8a3c-d66a860a5569,"ethoxylated alcohol (AE7) production, palm kernel oil",row,ordinary transforming activity,ee02b2e7-9c42-4fe3-904b-2a4a6f221656,ethoxylated alcohol (AE7)
b0fc9ba0-4ec5-583f-a2b2-37b146af6b30_df9c0823-333f-4d7e-992f-f238d38a783b,b0fc9ba0-4ec5-583f-a2b2-37b146af6b30,"treatment of electronics scrap, metals recovery in copper smelter",row,ordinary transforming activity,df9c0823-333f-4d7e-992f-f238d38a783b,"metal part of electronics scrap, in copper, anode"
aef27ec2-50ea-51c6-896f-c3d2473425a5_8f7f787b-119e-481a-a2fa-e3ee86bcf5c8,aef27ec2-50ea-51c6-896f-c3d2473425a5,"laser machining, metal, with CO2-laser, 3200W power",row,ordinary transforming activity,8f7f787b-119e-481a-a2fa-e3ee86bcf5c8,"laser machining, metal, with CO2-laser, 3200W power"
