main_activity_id,main_activity,lca_act_type
489809014af2c8b54cee65ebaef7bc59b771c224,agent/ representative,market activity
5ffa7721e6d84150470a179e969643c0618e327a,distributor,market activity
fd62c01c0168c1f02250969af71e56bf0ea681f5,manufacturer/ producer,ordinary transforming activity
5a013c49508291c6816ac388f93a2c11973086ed,missing,not_mapped
7a89ff261858f34ac110e8fd274b73b3f010f82d,multi-category,not_mapped
a5770521b4e65dafbda6d334a7e84fe52987570e,retailer,market activity
20965c7bc5825cbd88568790902918bab186efab,service provider,not_mapped
0dfc844cd46e872fda8ac4f8094aefa25e5eb2fd,subcontractor,not_mapped
8ca6b68c2345d945b795d58a4adbbddd934ce349,wholesaler,market activity
