Activity UUID_Product UUID,Activity Name,Geography,Reference Product Name,lca_geo
790913a1-83f1-57d3-8cf5-8a3dbfea4209_fecdf330-8660-4362-adde-ab5ea197ab1d,"market for diesel, burned in agricultural machinery",GLO,"diesel, burned in agricultural machinery",glo
ca93c240-de28-5053-be27-88cc29df9ce9_b0f4c2fb-5081-474a-8ffa-1457da8345db,"market for diesel, burned in building machine",GLO,"diesel, burned in building machine",glo
b3767790-ec16-53e4-bafb-5a11017cd993_1151abf1-5ac3-4518-bb20-60f003bb6a31,"market for diesel, burned in diesel-electric generating set, 10MW",GLO,"diesel, burned in diesel-electric generating set, 10MW",glo
623046d9-d055-5fda-af84-f6f9a89b47f4_3454a297-a1e9-4ac5-9915-3b9601c0a7f9,"market for diesel, burned in diesel-electric generating set, 10MW, for oil and gas extraction",GLO,"diesel, burned in diesel-electric generating set, 10MW, for oil and gas extraction",glo
0ab327a0-7e30-5cd1-9fb5-31f023f97af3_533392d3-8fa6-44bb-9b79-b14c0a0e66e0,"market for diesel, burned in diesel-electric generating set, 18.5kW",GLO,"diesel, burned in diesel-electric generating set, 18.5kW",glo
8354ad71-bc27-50a9-9b8f-b29a7033548a_79838d89-26c0-4781-b17f-a0deb787d482,"market for diesel, burned in fishing vessel",GLO,"diesel, burned in fishing vessel",glo
df469d38-9b9d-5e80-9e08-dff9065c4510_b80eb2d5-1256-41bb-a61d-83252d0dfd4d,"market for diesel, low-sulfur",CH,"diesel, low-sulfur",ch
95c41c0d-2986-5d3b-8d98-c1838c458c6e_b80eb2d5-1256-41bb-a61d-83252d0dfd4d,"market for diesel, low-sulfur",Europe without Switzerland,"diesel, low-sulfur",europe without switzerland
9f5a467b-2b2b-53e7-afe9-9059b35ee9d2_b80eb2d5-1256-41bb-a61d-83252d0dfd4d,"market for diesel, low-sulfur",RoW,"diesel, low-sulfur",row
cec9783a-603d-5c05-990f-e295033b0324_5c251ed1-1f25-46e7-976b-98e5e85f238d,"market for diesel-electric generating set, 10MW",GLO,"diesel-electric generating set, 10MW",glo
7104e14f-19a7-59bb-ad09-9aef0e2af2f4_6b7e58ca-8d06-49bd-8b8e-02673cda3297,"market for diesel-electric generating set, 18.5kW",GLO,"diesel-electric generating set, 18.5kW",glo
4cbdb6a8-f085-5cc7-afcf-5def010c63a1_12b2f717-a83f-4848-91c5-9f081b030ae5,market for diethanolamine,GLO,diethanolamine,glo
cd77b397-87f3-5c08-aaa0-3040be623883_86f356ee-4bfa-43cf-a82f-4799c7f7c776,"market for diethyl ether, without water, in 99.95% solution state",RoW,"diethyl ether, without water, in 99.95% solution state",row
cd71a99e-06be-5a54-8c25-e0144a4f1700_86f356ee-4bfa-43cf-a82f-4799c7f7c776,"market for diethyl ether, without water, in 99.95% solution state",RER,"diethyl ether, without water, in 99.95% solution state",rer
90bf0624-088a-580e-bfb3-e89578ecf203_afd7c901-ca10-4fd0-8cc0-6529a7515c83,market for diethylene glycol,RoW,diethylene glycol,row
b29a246b-cfbb-59dd-9ba9-7ef70dcbc834_afd7c901-ca10-4fd0-8cc0-6529a7515c83,market for diethylene glycol,RER,diethylene glycol,rer
a35a90ea-5ab0-5630-988f-564c6006ea25_caf4f3f7-4613-4919-af55-f142830d5ca8,market for digester sludge,CH,digester sludge,ch
18dbc109-7d37-5b30-9b5f-d2b1a2157105_caf4f3f7-4613-4919-af55-f142830d5ca8,market for digester sludge,RoW,digester sludge,row
c7008303-b97d-5bbe-86e5-358a012e76ae_635a8fd4-8fd6-45af-b419-ec145a9f4579,market for dimethenamide,GLO,dimethenamide,glo
a7137cde-4762-54b2-9954-07db0c39a092_53fd4bee-dffb-5151-9178-23ec0dfd622d,market for dimethyl carbonate,GLO,dimethyl carbonate,glo
b2f1233f-403d-52a6-8a04-29816c1fac14_eeaf1bf6-b91b-475c-871b-c3b0e9e38213,market for dimethyl ether,RoW,dimethyl ether,row
0101bec5-f160-50da-8d02-23e64c8cc61e_eeaf1bf6-b91b-475c-871b-c3b0e9e38213,market for dimethyl ether,RER,dimethyl ether,rer
6da9f784-7da9-5eee-8791-5fe8302f1d53_cad7658a-90cc-5ee7-a874-55ed33db5898,market for dimethyl hexanediol,GLO,dimethyl hexanediol,glo
501aa1ff-b649-5f0d-920f-9c8821ad7d3a_5cd54aed-e0c3-56dd-b1fe-768d581fccbc,market for dimethyl hexynediol,GLO,dimethyl hexynediol,glo
b943da1f-2ecf-53b3-8ae3-670ae7a52752_0b0a4567-b987-4ad6-a338-7c282bd9eb14,market for dimethyl malonate,GLO,dimethyl malonate,glo
83a76518-7bef-57b5-a00e-60118d075b4b_5b808359-1aed-4a46-aba5-993226763791,market for dimethyl sulfate,RoW,dimethyl sulfate,row
10cf4edf-085f-5630-b038-fd7e132e3412_5b808359-1aed-4a46-aba5-993226763791,market for dimethyl sulfate,RER,dimethyl sulfate,rer
99dab23c-8fe9-5e38-8b1b-fbfd3741f534_a289fbe9-0efa-43ff-9c01-44503d641912,market for dimethyl sulfide,GLO,dimethyl sulfide,glo
f91dbf19-ba1b-562c-9ed2-3c419b419ccb_82f905b2-faf0-4743-b076-20209ac04ba4,market for dimethyl sulfoxide,GLO,dimethyl sulfoxide,glo
b99df072-3dbd-5a51-99b1-11696282642b_14fc5cbb-5bb5-4c0e-b4ba-abdaa522105c,market for dimethylacetamide,GLO,dimethylacetamide,glo
927fba52-59ff-579b-8fd0-4747c1727280_409fed7c-d609-44ba-901b-045059c1100d,market for dimethylamine,RoW,dimethylamine,row
45a6ddf1-0cd4-5a4d-88a4-8d220d1ed282_409fed7c-d609-44ba-901b-045059c1100d,market for dimethylamine,RER,dimethylamine,rer
fa7c174f-6399-50c1-8996-b1f12576600c_f5adb8c0-0bad-4e7f-b8bc-f2a3ea5c6445,market for dimethylamine borane,GLO,dimethylamine borane,glo
58b17760-f158-5ec2-b06e-23ace38f00db_f831dbaf-bcb9-5a4e-89a8-607f39516f51,market for dimethylaminopropylamine,GLO,dimethylaminopropylamine,glo
75bbd340-2646-5ef6-8d35-029657625594_4135c4ce-e9ab-51d1-9c3e-592b616adb68,market for dimethyldichlorosilane,GLO,dimethyldichlorosilane,glo
0b249bde-5aff-5ae8-b8cb-e96401c8cfba_788fbac7-89f4-4167-a410-72b7bf149d92,market for dinitroaniline-compound,GLO,dinitroaniline-compound,glo
7a2a4f90-161b-5f20-89ae-636f61fb5284_1d8ac54e-4172-42c0-9d0e-97ab25363722,market for dinitrogen tetroxide,GLO,dinitrogen tetroxide,glo
ad94acd9-ff0b-5841-862b-289c19e1147d_dc9699f1-c0f3-57d8-b9a4-503711177467,market for dioctyl adipate,GLO,dioctyl adipate,glo
c8e64906-1298-5d68-bedd-624d13831665_44db221a-33e4-584e-95db-293ed897766d,market for dioctyl terephthalate,GLO,dioctyl terephthalate,glo
f2cf72eb-8f7b-5ca5-95bf-fe7e720d4819_893fa727-fdac-482e-841d-679197590b4c,"market for diode, auxilliaries and energy use",GLO,"diode, auxilliaries and energy use",glo
2c95ae04-ac76-5eb4-9a82-ba025418f3ae_38dddb73-6677-4128-9a82-5c6668eceb29,"market for diode, glass-, for surface-mounting",GLO,"diode, glass-, for surface-mounting",glo
1f210cfd-1939-5bce-99f7-f4f9bb3b8a60_0fd2627f-cd91-40c7-b168-8d7847ffb1fc,"market for diode, glass-, for through-hole mounting",GLO,"diode, glass-, for through-hole mounting",glo
d6122767-790e-5895-b7c6-9c5bbf04ee79_bb14c937-fb75-430a-bb90-128536904e85,market for dioxane,RoW,dioxane,row
eb4a222a-ffc8-5dff-bfb0-46cb85721917_bb14c937-fb75-430a-bb90-128536904e85,market for dioxane,RER,dioxane,rer
56bb52ce-27ca-5032-ad62-75b4870b76e5_4855fa83-84d7-4138-8fde-27aa1bab3f42,market for diphenylether-compound,GLO,diphenylether-compound,glo
ade397be-ea4e-58db-865c-ad1991cb1de5_bc6da04d-39f0-42e4-aa45-47b8a1ac582e,market for dipropyl amine,GLO,dipropyl amine,glo
2d42640f-a6a5-5eca-95c7-f2943846b236_a01151e0-61fe-4db9-90b5-494aa8589692,market for dipropylene glycol monomethyl ether,RoW,dipropylene glycol monomethyl ether,row
0f81fa84-9bf8-55f1-82e0-e4f66574d7c5_a01151e0-61fe-4db9-90b5-494aa8589692,market for dipropylene glycol monomethyl ether,RER,dipropylene glycol monomethyl ether,rer
a3b8072b-c9a9-5e3c-b4d3-e60b97f78f79_579cee0c-0738-471b-9f53-9d9103ffb46a,market for dishwasher,GLO,dishwasher,glo
90de0874-58bf-5d72-af70-e7b155270f8d_99df330b-2754-4a9c-912b-3268c9e6bcde,"market for disk drive, CD/DVD, ROM, for desktop computer",GLO,"disk drive, CD/DVD, ROM, for desktop computer",glo
1c345754-e694-5950-8133-b37b6ba910c4_d495abc3-3dd2-4fdc-93ed-e6304c3aa650,"market for disk drive, CD/DVD, ROM, for laptop computer",GLO,"disk drive, CD/DVD, ROM, for laptop computer",glo
e9a4a343-910c-536e-8e9a-8d76cebbad15_2ba90adb-d6f3-48da-a9e3-e67fa98fccab,market for disodium disulphite,GLO,disodium disulphite,glo
d5e08c13-149a-5e62-8b96-fc2bb71d50ba_17ddf1bd-c2da-49ea-8ef1-a7683ad53f1b,"market for display, cathode ray tube, 17 inches",GLO,"display, cathode ray tube, 17 inches",glo
95fa8d65-bbb1-567e-bba2-1792e8910a78_37a90a87-60d3-4aa0-8488-4fdcebf2a6cf,"market for display, liquid crystal, 17 inches",GLO,"display, liquid crystal, 17 inches",glo
49a97593-06fd-5f78-a404-80126ef1eb69_448b6d35-c6d6-42d9-9e63-c19b9a0a6496,"market for distribution network, electricity, low voltage",GLO,"distribution network, electricity, low voltage",glo
fa437565-10f9-577e-a7ad-7cfeb574b14f_135a953b-2acb-4c85-9d1c-7a268b5750ff,market for dithiocarbamate-compound,GLO,dithiocarbamate-compound,glo
9cd7b8d4-2878-581e-8d11-f8c470669bed_812ae2cf-86f0-58bc-a825-fcc7c4ecc80d,market for dodecanol,GLO,dodecanol,glo
7471dabb-8b6c-51f6-95bf-059368740804_8e2a9448-685b-4687-910a-77418454f259,market for dolomite,RoW,dolomite,row
28397046-3aa5-55e6-9009-680b891d1ba1_8e2a9448-685b-4687-910a-77418454f259,market for dolomite,RER,dolomite,rer
1c8a5a56-152a-5789-ad41-2aa483ce3321_9f342c90-e370-45b4-a6aa-7618182dc926,market for dolomite quarry infrastructure,GLO,dolomite quarry infrastructure,glo
34cc1c83-bd57-5a1c-93db-98a8efb8b06e_b5811f69-1406-41dd-8058-d6779d39f0ae,"market for door, inner, glass-wood",GLO,"door, inner, glass-wood",glo
b30b2c1d-807b-5e71-8bdc-ba4dafb77f66_f7a0f8d7-7a73-462d-a9c8-a147818f6d05,"market for door, inner, wood",GLO,"door, inner, wood",glo
bf4ebb61-7766-5763-8d55-b039e78c6f17_998b299a-be0c-4cca-8db5-8363d1594171,"market for door, outer, wood-aluminium",GLO,"door, outer, wood-aluminium",glo
e4343bde-1c19-5a0b-87c9-39acb461ba5d_eefdc5da-5148-44a1-820c-b4780c5a7dd8,"market for door, outer, wood-glass",GLO,"door, outer, wood-glass",glo
c11355b1-ef4f-5520-a596-6adfe7ad5ecc_68e64673-7c91-4025-af50-31317791caf7,"market for drawing of pipe, steel",GLO,"drawing of pipe, steel",glo
e7e1bcaf-2a96-5210-80d9-a7ad53452100_7f4e26b4-bf6a-4e94-bf7d-32c1ebb9f203,"market for dried roughage store, air dried, solar",GLO,"dried roughage store, air dried, solar",glo
a6fb86c8-08eb-5927-a224-be78a420782e_79b9ceea-f11c-4d24-9f30-057ebb8a34ba,"market for dried roughage store, cold-air dried, conventional",GLO,"dried roughage store, cold-air dried, conventional",glo
b738b46e-7bf2-5420-8d93-0b99848d4b67_17f63373-8ae5-425f-aee3-a03d49e0518e,"market for dried roughage store, non ventilated",GLO,"dried roughage store, non ventilated",glo
03bcd25e-1bec-5a6c-8c6a-d1ca34adcf86_be6ef9ec-def4-45c3-8252-b54fe99a0041,market for drilling waste,CH,drilling waste,ch
fa183ae2-7c21-58a7-98f7-4a522eff19d5_be6ef9ec-def4-45c3-8252-b54fe99a0041,market for drilling waste,RoW,drilling waste,row
b4b728b7-e458-57b3-8a76-cf06f0b5baa1_81efea43-cfa0-43aa-bae1-698701967ffb,market for dross from Al electrolysis,RoW,dross from Al electrolysis,row
db390d1f-9d9d-5c14-b6a7-1ed23f9f5182_81efea43-cfa0-43aa-bae1-698701967ffb,market for dross from Al electrolysis,RER,dross from Al electrolysis,rer
c030104b-7f7c-5917-908c-384c9b74f0a4_2eb6206e-5965-46f8-8e8f-f9c554579020,market for dryer,GLO,dryer,glo
e1bdbfe5-e45a-5ac2-b37f-e9adc864817e_c0d30387-3590-45d5-91a2-4fe5014b759d,"market for drying of bread grain, seed and legumes",GLO,"drying of bread grain, seed and legumes",glo
238a317d-e592-58c0-87cb-15e19c2728ee_05885833-b4e9-42a4-857a-5acc9a580a83,market for drying of feed grain,GLO,drying of feed grain,glo
3b63e2c7-0414-5dd4-b21e-98a65e993ac8_65e0420e-4ac2-4817-a5a7-f876d1e0a808,market for drying of grass,GLO,drying of grass,glo
a0601fd5-6151-5eed-81a8-6084b0c94474_c53d3387-2ce7-4619-afb1-a6e9b868a55b,market for drying of lentils,GLO,drying of lentils,glo
aa70ebba-03fa-51ed-a4e9-cd78a7ef9efc_070bc4e6-611e-4d09-9323-22013fc4ec8d,market for drying of maize grain,GLO,drying of maize grain,glo
54b74e51-c242-57a9-9480-a9c61b85feae_c6efcb32-7437-44c1-bcea-2b6e57ed18ee,market for drying of maize straw and whole-plant,GLO,drying of maize straw and whole-plant,glo
ac4474be-ccbd-541e-acba-041277de8694_42540f88-6507-401e-9c10-16116ce13c1c,market for drying of protein pea,GLO,drying of protein pea,glo
fa4f3f92-3be9-506f-b629-3ff5ca86634a_4e947250-1301-4584-9582-25e09ae171d6,"market for drying, natural gas",GLO,"drying, natural gas",glo
99f9489e-9731-509f-acee-481f23889c55_cacf7090-a406-469b-acad-5bab2d2bb7a1,market for dung slab,GLO,dung slab,glo
5839ceb3-61fb-5d62-a54f-ed20992570c7_71480d50-df3f-4936-a314-876d6841d60f,"market for dust collector, electrostatic precipitator, for domestic use",GLO,"dust collector, electrostatic precipitator, for domestic use",glo
73423a60-6ef3-5e32-991b-eec71a5f17c3_3a33478f-84e5-4f44-9633-364616ffa49e,"market for dust collector, electrostatic precipitator, for industrial use",GLO,"dust collector, electrostatic precipitator, for industrial use",glo
708deeb9-141d-5a3f-acfe-b6dedcd9ee3c_16f44c6e-f9f6-419a-8c78-87fa4bd1246d,"market for dust collector, multicyclone",GLO,"dust collector, multicyclone",glo
e872b358-dc25-515b-a6d5-0e41b3d16e54_1020c079-f3c3-5699-8fc9-72559914756a,market for dysprosium oxide,GLO,dysprosium oxide,glo
8825b387-5513-569c-9441-d2ed1fddd1ec_c2c93af2-47cb-4ec7-a1bd-d3d572bca039,market for electric arc furnace converter,GLO,electric arc furnace converter,glo
2cd01a68-5b7c-54bf-b1d3-336c295c6ae8_3b1d249a-c924-4d6c-8e1f-647f562daa54,market for electric arc furnace dust,CH,electric arc furnace dust,ch
50ee65df-b3a6-55af-ac5e-a6daabcc6161_3b1d249a-c924-4d6c-8e1f-647f562daa54,market for electric arc furnace dust,Europe without Switzerland,electric arc furnace dust,europe without switzerland
2562b544-375b-5068-8a16-9b57cf656460_3b1d249a-c924-4d6c-8e1f-647f562daa54,market for electric arc furnace dust,RoW,electric arc furnace dust,row
42c53829-50e4-5be1-aca7-8e2b2e1ac9f2_7494eb5f-c18b-5389-834d-131fd06c29ea,market for electric arc furnace secondary metallurgy slag,RoW,electric arc furnace secondary metallurgy slag,row
ccb5982b-4b76-5e78-8144-2a1b41629cfb_7494eb5f-c18b-5389-834d-131fd06c29ea,market for electric arc furnace secondary metallurgy slag,RER,electric arc furnace secondary metallurgy slag,rer
75911bdc-7f26-535a-9c0f-58208a3cf556_6c3cb784-0eb8-531a-8216-4a5c40f8bc75,"market for electric arc furnace secondary metallurgy slag, for recovery",RoW,"electric arc furnace secondary metallurgy slag, for recovery",row
c04d93d2-6e54-55ed-a2df-d3cca088d64e_6c3cb784-0eb8-531a-8216-4a5c40f8bc75,"market for electric arc furnace secondary metallurgy slag, for recovery",RER,"electric arc furnace secondary metallurgy slag, for recovery",rer
f6084425-67fc-541d-aaf9-a323f9a14b15_6e74937e-b691-4c49-9b8f-5ba44d7c081d,market for electric arc furnace slag,CH,electric arc furnace slag,ch
2dac1912-8575-5e23-a2f5-7a485fa9cfc8_6e74937e-b691-4c49-9b8f-5ba44d7c081d,market for electric arc furnace slag,Europe without Switzerland,electric arc furnace slag,europe without switzerland
3d054f89-b3b8-5beb-8b39-7fd00e9e034b_6e74937e-b691-4c49-9b8f-5ba44d7c081d,market for electric arc furnace slag,RoW,electric arc furnace slag,row
408d026f-d52b-5418-a134-f2128c1bd07d_2a31e0a0-90bb-5dda-8e31-ca86641aeabd,"market for electric arc furnace slag, for recovery",RoW,"electric arc furnace slag, for recovery",row
4cbac40e-9db5-5997-b6bc-874336cb5bed_2a31e0a0-90bb-5dda-8e31-ca86641aeabd,"market for electric arc furnace slag, for recovery",RER,"electric arc furnace slag, for recovery",rer
70462625-cd53-54f1-8ad1-f696c272fd75_945799a7-46e7-46cf-94b1-6967553434a3,market for electric bicycle,GLO,electric bicycle,glo
d6a64ea5-d402-543e-aa38-b862ba14925e_97abb774-9c04-4e55-8bc2-94edaff6342d,"market for electric connector, peripheral component interconnect buss",GLO,"electric connector, peripheral component interconnect buss",glo
4639f61a-625b-5d00-bace-7237e6c3f95d_9cc41404-5a63-4005-82a2-884dc147fc3f,"market for electric connector, peripheral type buss",GLO,"electric connector, peripheral type buss",glo
3ca68ebd-e448-5e9d-baac-f94e3da4e048_6716b460-7ba0-4cea-baa4-32ae24bfb88c,"market for electric connector, wire clamp",GLO,"electric connector, wire clamp",glo
013d2192-23f5-5622-9012-2e330ad6ed21_f0ab3e24-e4cd-4015-afa4-e36c17cc893b,market for electric kettle,GLO,electric kettle,glo
1a27d6d1-0c92-5903-a96b-4d03f4c0ade5_3b02c7eb-5df6-46ad-a39d-51c588aa75dc,"market for electric motor, electric passenger car",GLO,"electric motor, electric passenger car",glo
73b55718-ef6e-597b-a3be-5cb28c3484df_87a84dc1-502a-4213-a0c7-6ef45e1c520b,"market for electric motor, for electric scooter",GLO,"electric motor, for electric scooter",glo
6b0b1bdb-55a7-59c9-9d9d-7c6539c23c85_faac50ba-db79-4c84-8c68-9453728f9063,"market for electric motor, vehicle",GLO,"electric motor, vehicle",glo
aebe52be-7055-56be-9e92-7a6d9446fd31_4e8874e8-096f-48df-af9b-41d1be279ac8,"market for electric parts, heat and power co-generation unit, 160kW electrical",GLO,"electric parts, heat and power co-generation unit, 160kW electrical",glo
9c7c83c6-974a-5ed4-9d28-5bb3cbb17490_f575d599-c290-4329-8b87-f0cbf03b4311,"market for electric parts, mini CHP plant",GLO,"electric parts, mini CHP plant",glo
be4a3c33-f7be-5ef5-9812-5e50e1f0d68d_fbcabacc-60c3-4849-8b8f-125ae1b6fc3a,"market for electric scooter, without battery",GLO,"electric scooter, without battery",glo
7a07fd33-c89e-58b0-86e3-a211f1522599_637ee275-a239-4dcb-b084-abfa110dd65b,"market for electricity, for reuse in municipal waste incineration only",AT,"electricity, for reuse in municipal waste incineration only",at
b08c2222-ca36-56e3-a174-6f22f405798b_637ee275-a239-4dcb-b084-abfa110dd65b,"market for electricity, for reuse in municipal waste incineration only",CH,"electricity, for reuse in municipal waste incineration only",ch
6821b1cc-9dc8-5f57-9f5f-123a3e3f8da5_637ee275-a239-4dcb-b084-abfa110dd65b,"market for electricity, for reuse in municipal waste incineration only",DE,"electricity, for reuse in municipal waste incineration only",de
101e4ec4-7053-52f6-8ae7-0e0749a8d2d4_637ee275-a239-4dcb-b084-abfa110dd65b,"market for electricity, for reuse in municipal waste incineration only",ES,"electricity, for reuse in municipal waste incineration only",es
27270a3a-d1da-5f34-9f28-f2a9be1dc5cf_637ee275-a239-4dcb-b084-abfa110dd65b,"market for electricity, for reuse in municipal waste incineration only",FR,"electricity, for reuse in municipal waste incineration only",fr
9a30b619-219f-5030-bb8f-7f181561ef0e_637ee275-a239-4dcb-b084-abfa110dd65b,"market for electricity, for reuse in municipal waste incineration only",NL,"electricity, for reuse in municipal waste incineration only",nl
3058c2db-3b34-5c82-9eaa-5e7e0ffec2a0_637ee275-a239-4dcb-b084-abfa110dd65b,"market for electricity, for reuse in municipal waste incineration only",RoW,"electricity, for reuse in municipal waste incineration only",row
a6f17f0f-8b94-5475-9f13-1a6f4e54218f_66c93e71-f32b-4591-901c-55395db5c132,"market for electricity, high voltage",AT,"electricity, high voltage",at
c518da90-0362-54fe-913d-57118042bb09_66c93e71-f32b-4591-901c-55395db5c132,"market for electricity, high voltage",CH,"electricity, high voltage",ch
02f0edec-9d38-563d-bbfb-17d34b844ae1_66c93e71-f32b-4591-901c-55395db5c132,"market for electricity, high voltage",DE,"electricity, high voltage",de
ac460e8b-6885-502c-a95f-8e00b675a82c_66c93e71-f32b-4591-901c-55395db5c132,"market for electricity, high voltage",ES,"electricity, high voltage",es
7334ae81-82a7-5423-9a8d-b9b8d0885347_66c93e71-f32b-4591-901c-55395db5c132,"market for electricity, high voltage",FR,"electricity, high voltage",fr
257464d8-6250-5669-bb55-e256dcce29e0_66c93e71-f32b-4591-901c-55395db5c132,"market for electricity, high voltage",NL,"electricity, high voltage",nl
65f35f47-ab06-5926-b9ca-ed5726479ea0_5d954e5c-1e6d-4f78-9fc3-d3857b7892cb,"market for electricity, high voltage, aluminium industry","IAI Area, EU27 & EFTA","electricity, high voltage, aluminium industry","iai area, eu27 & efta"
875f5f94-ff60-51af-931b-7a5686974517_5d954e5c-1e6d-4f78-9fc3-d3857b7892cb,"market for electricity, high voltage, aluminium industry",RoW,"electricity, high voltage, aluminium industry",row
b404f6e9-e486-5bf3-8f1a-00d818207376_d2fd5cc0-630a-5514-9c3c-5d9fce0bb70b,"market for electricity, high voltage, cobalt industry",GLO,"electricity, high voltage, cobalt industry",glo
0e75724d-d571-589e-819f-5808da9d2934_6d153080-c3aa-473e-8c78-9bd46e07ee4e,"market for electricity, high voltage, for Swiss Federal Railways",CH,"electricity, high voltage, for Swiss Federal Railways",ch
08f1e855-abbc-5b17-8a69-c23e355fe0cb_b7a0c0bc-fd0d-41b8-8ab7-15bc1a4a3063,"market for electricity, high voltage, for internal use in coal mining",GLO,"electricity, high voltage, for internal use in coal mining",glo
8ab722aa-2787-5892-86bd-acdb18c0eb73_5f9b49ad-6aa8-42ee-8d55-af2982e9f0f8,"market for electricity, high voltage, renewable energy products",CH,"electricity, high voltage, renewable energy products",ch
553d8a34-56d2-555e-aaf0-43d527c5796a_d69294d7-8d64-4915-a896-9996a014c410,"market for electricity, low voltage",AT,"electricity, low voltage",at
1747a71b-37e5-5a8c-ad4c-7b8fb661e0a9_d69294d7-8d64-4915-a896-9996a014c410,"market for electricity, low voltage",CH,"electricity, low voltage",ch
48dddacc-c651-5df4-9223-eff842c8d771_d69294d7-8d64-4915-a896-9996a014c410,"market for electricity, low voltage",DE,"electricity, low voltage",de
caf427cc-ca16-5614-89ca-5f0f25643c7e_d69294d7-8d64-4915-a896-9996a014c410,"market for electricity, low voltage",ES,"electricity, low voltage",es
703d3314-190b-58e7-b9c8-0b911459cc2b_d69294d7-8d64-4915-a896-9996a014c410,"market for electricity, low voltage",FR,"electricity, low voltage",fr
5ef7bec4-6c7c-5814-9a72-d82526e4ac42_d69294d7-8d64-4915-a896-9996a014c410,"market for electricity, low voltage",NL,"electricity, low voltage",nl
7bf64314-9261-57b2-ae41-b7c9668a0d4a_ae13f419-fa76-4878-ab68-5bb94d3e24e6,"market for electricity, low voltage, renewable energy products",CH,"electricity, low voltage, renewable energy products",ch
79c69639-46f2-5824-82f8-42c9efb1e7a9_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"market for electricity, medium voltage",AT,"electricity, medium voltage",at
1f0b1ca6-cb5f-5ae5-ae42-3eda7472141b_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"market for electricity, medium voltage",CH,"electricity, medium voltage",ch
e8f1fddd-8ce4-583e-8d22-0b83277f977c_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"market for electricity, medium voltage",DE,"electricity, medium voltage",de
d782cd4b-e05b-5a4b-ba26-3738d001d71b_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"market for electricity, medium voltage",ES,"electricity, medium voltage",es
cd93b67a-e7b1-570d-802c-e1ed6a49a507_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"market for electricity, medium voltage",FR,"electricity, medium voltage",fr
951b7565-0ab5-550c-b5ed-139ef39e7cf6_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"market for electricity, medium voltage",NL,"electricity, medium voltage",nl
1ca55e05-48c6-55b9-95c8-fecba873814e_4fcfb407-7879-42ad-9582-ab3fbfe5af10,"market for electricity, medium voltage, aluminium industry","IAI Area, EU27 & EFTA","electricity, medium voltage, aluminium industry","iai area, eu27 & efta"
f9a9e3d6-b0fe-59e2-90e9-068419854374_4fcfb407-7879-42ad-9582-ab3fbfe5af10,"market for electricity, medium voltage, aluminium industry",RoW,"electricity, medium voltage, aluminium industry",row
94cef78e-32f6-5295-a4eb-930b7de8773a_3c502ce5-8c62-59fd-abf3-38ff13db2405,"market for electricity, medium voltage, cobalt industry",GLO,"electricity, medium voltage, cobalt industry",glo
9bed5d9e-e2f0-5ee7-9671-7434d5fd86cc_fef08457-493d-4860-b499-83f12579f413,"market for electricity, medium voltage, renewable energy products",CH,"electricity, medium voltage, renewable energy products",ch
983e822a-9b52-5ed5-8fa3-6bd0366db3aa_d18d34ef-1f8a-451f-9620-a429feb04c26,"market for electrode, negative, LiC6",GLO,"electrode, negative, LiC6",glo
96cd007e-86d7-50b1-846e-7588654352a2_ec211391-5aa1-462e-8254-107b5b01b006,"market for electrode, negative, Ni",GLO,"electrode, negative, Ni",glo
a7061f3f-6f60-5864-8956-f5fc3ebc2cfd_288bd056-084a-410e-85ea-44679011dfd8,"market for electrode, positive, LaNi5",GLO,"electrode, positive, LaNi5",glo
fe6978cf-a344-5ef2-a153-df7902d2ba4c_0cfee66a-2375-44b2-81f5-d49b4712bca5,"market for electrolyte, KOH, LiOH additive",GLO,"electrolyte, KOH, LiOH additive",glo
22b5977c-c5f5-5cef-bb93-6bc4e7402e09_e97c0864-abdb-580d-97fb-3b73301ffaaa,"market for electrolyte, copper-rich",GLO,"electrolyte, copper-rich",glo
80e69a06-bb11-5725-9ad4-d2873463625a_08fff83a-3881-442a-8062-a7084102d9a1,"market for electrolyte, for Li-ion battery",GLO,"electrolyte, for Li-ion battery",glo
ea6aad6f-5873-56da-9bdf-fe2338b39c85_08663c56-b6b9-4a91-b2e3-7478da4f27ba,"market for electrolyte, for solid oxide fuel cell",GLO,"electrolyte, for solid oxide fuel cell",glo
6d93e236-cca2-5b17-a833-0ebc344cc1a7_b9da6e4c-0d5d-51a4-b141-54b634c0a4b2,"market for electrolyte, nickel-rich",GLO,"electrolyte, nickel-rich",glo
294da5d0-0482-56ec-9943-89342a246805_badf9215-58af-4218-ac95-a133fddcb7dc,"market for electron gun, for cathode ray tube display",GLO,"electron gun, for cathode ray tube display",glo
3e4ed221-4347-5984-9062-1e71f8643f09_fea38609-ac59-404b-8bb4-22e172c7a4a7,market for electronic component factory,GLO,electronic component factory,glo
23754f1e-4f4f-542a-bf28-7ce2e4b84119_e60fe70b-2ab2-4b9a-9ec2-81b90dcff450,"market for electronic component machinery, unspecified",GLO,"electronic component machinery, unspecified",glo
