clustered_id;clustered;is_product;comments;typo_correction;is_activity
7ea682d26b00772883804e513d2f12e5ca5e8f46;replacement car rental;0;;;FALSE
4210d23d16f2ed261e3d2abfacc09c1e57a21e55;wire cutting;0;;;FALSE
78650d2c51f24f18d47ae915e8233bafc1762e1d;metal galvanising;0;;;FALSE
00b175500f65126292e9852d288434dac53092a2;stainless steel welding;0;;;FALSE
d216fa23dc8253b18a0f20262e8ff6e4f91ee881;electrical workshop;0;;;FALSE
b5b8093f4efa45990c7dd74d78944522e571ce5a;electromechanical workshops;0;;;FALSE
ff4fa81b656574e06df2031ba81c318845c17133;electronic switchboard repairs;0;;;FALSE
1495b05220e3fe8ba6d3dcf7926b2d574bc4f3b0;interphone installation;0;;;FALSE
7d1a0c73ada6e27ec81e123791efd9a5e956b01f;electronic recycling;0;;;FALSE
33a88f2b52669db7556adc13f67bb3de82183ccd;electronic scraps;0;;;FALSE
c619cb2076581aa9977fcbc86b19cb14749bcd1a;rail welding machines;0;;;FALSE
487a278faaedbd98824f03d4445caf0ffe214b3e;rail grinding machines;0;;;FALSE
a29bb93a91e801447873b69ea91ca22e495ea7be;highway maintenance;0;;;FALSE
5c0a4fc7c32f26dec6ff80e80471b4a93152d252;premium;0;;;FALSE
64658de9cfef579aa2c550fb706da2b2951ea4bb;eco-friendly amenities;0;;;FALSE
9e0d81f6648c4192c0719a86ddf8422d5acc7a79;green tourism - amenities;0;;;FALSE
d8270de8c3c108e5ebd3f866e703d629aa1df9f9;hotel amenities;0;;;FALSE
a98227cf129723dffab703709aeaf2d8d0ecc50e;indoor playgrounds;0;;;FALSE
361247f3324bae070a7503e889044775a02151fe;trampoline parks;0;;;FALSE
d8fec0855fa792cbc47dc9c9fbf7e12edf32bc2d;sport courses;0;;;FALSE
701fc3847c09fa705b0f6a300a32dd870e959a30;energy diagnosis measurement;0;;;FALSE
5288c3f85c97210ccbbf69fcc17724810ee5e07c;health care;0;;;FALSE
d992f7c0b749392257fe5d7f03834952e105953b;transfer service;0;;;FALSE
